name,provider,country,city,region,description,duration_weeks,duration_type,credits_min,credits_max,gpa_requirement,language_requirement,program_fee,housing_included,estimated_total_cost,internship_available,research_opportunities,excursions_included,program_url,academic_fields,tags
Barcelona Business & Culture,IES Abroad,Spain,Barcelona,Europe,Explore business practices and Catalan culture in one of Europe's most dynamic cities with courses in English and Spanish.,15,semester,15,19,3.0,None (English-taught),16950,TRUE,19500,TRUE,FALSE,TRUE,https://www.iesabroad.org/programs/barcelona-business,Business|Economics|International Relations|Spanish,urban|cultural-immersion|internships|english-taught|large-program
Tokyo Engineering & Technology,CIEE,Japan,Tokyo,Asia,Study engineering and technology at top Japanese universities while experiencing Tokyo's blend of tradition and innovation.,16,semester,12,18,3.2,2 semesters Japanese,18500,TRUE,23000,FALSE,TRUE,TRUE,https://www.ciee.org/programs/japan/tokyo-engineering,Engineering|Computer Science|Mathematics|Japanese,urban|stem-focused|research|language-intensive|modern
Costa Rica Sustainability Studies,School for Field Studies,Costa Rica,San José,Americas,Hands-on environmental research and conservation work in one of the world's most biodiverse countries.,15,semester,16,16,2.8,Basic Spanish recommended,14500,TRUE,16500,FALSE,TRUE,TRUE,https://fieldstudies.org/programs/costa-rica,Environmental Studies|Biology|Public Health,rural|research|field-work|sustainable|small-cohort
Florence Art History Immersion,API,Italy,Florence,Europe,Immerse yourself in Renaissance art and Italian culture while studying at prestigious Florentine institutions.,14,semester,12,16,2.5,None,15800,TRUE,18900,FALSE,FALSE,TRUE,https://www.apistudyabroad.com/programs/italy/florence-art,Art History|Italian|Liberal Arts|Philosophy,urban|cultural-immersion|arts-focused|historic|relaxed
Seoul Business & Technology,ISA,South Korea,Seoul,Asia,Experience Korea's tech innovation hub while studying business and entrepreneurship in English-taught courses.,16,semester,12,18,3.0,None (English-taught),13500,TRUE,17000,TRUE,FALSE,TRUE,https://www.studiesabroad.com/programs/korea/seoul-business,Business|Computer Science|Economics|Marketing,urban|modern|internships|english-taught|stem-focused
London Theatre & Performance,CIEE,United Kingdom,London,Europe,Study drama and performance in the world's theatre capital with West End professionals and backstage access.,8,summer,6,9,2.8,None,8500,FALSE,12000,TRUE,FALSE,TRUE,https://www.ciee.org/programs/uk/london-theatre,Communications|Literature|Liberal Arts,urban|arts-focused|cultural-immersion|english-taught|intensive
Prague International Relations,CEA Study Abroad,Czech Republic,Prague,Europe,Explore Central European politics and international relations in one of Europe's most beautiful historic cities.,15,semester,15,18,2.75,None (English-taught),12500,TRUE,15000,TRUE,FALSE,TRUE,https://www.ceastudyabroad.com/programs/prague-ir,Political Science|International Relations|History|Economics,urban|historic|english-taught|small-cohort|affordable
Shanghai Mandarin Intensive,CET Academic Programs,China,Shanghai,Asia,Intensive Mandarin language program with cultural immersion and homestay options in China's financial capital.,12,summer,8,12,2.5,1 year Mandarin required,9500,TRUE,11500,FALSE,FALSE,TRUE,https://www.cetacademicprograms.com/programs/china/shanghai,Chinese|Business|International Relations,urban|language-intensive|homestay|cultural-immersion|intensive
Buenos Aires Latin Studies,IES Abroad,Argentina,Buenos Aires,Americas,Study Latin American culture and society while perfecting Spanish through homestays and community engagement.,15,semester,15,19,2.75,2 semesters Spanish,14200,TRUE,16800,TRUE,FALSE,TRUE,https://www.iesabroad.org/programs/buenos-aires,Spanish|Political Science|Sociology|Literature,urban|homestay|cultural-immersion|language-intensive|community-engagement
Amsterdam Liberal Arts,CIEE,Netherlands,Amsterdam,Europe,Interdisciplinary liberal arts program in one of Europe's most progressive and bicycle-friendly cities.,16,semester,15,18,3.0,None (English-taught),17200,TRUE,20500,FALSE,FALSE,TRUE,https://www.ciee.org/programs/netherlands/amsterdam,Liberal Arts|Psychology|Philosophy|Environmental Studies,urban|english-taught|sustainable|modern|relaxed
Kyoto Traditional Arts,API,Japan,Kyoto,Asia,Study traditional Japanese arts and culture in the ancient capital with tea ceremony and calligraphy workshops.,10,summer,6,9,2.5,None,7800,TRUE,9500,FALSE,FALSE,TRUE,https://www.apistudyabroad.com/programs/japan/kyoto-arts,Art History|Japanese|Philosophy|Anthropology,cultural-immersion|arts-focused|historic|small-cohort|traditional
Sydney Marine Biology,School for Field Studies,Australia,Sydney,Oceania,Study marine ecosystems and conservation at the Great Barrier Reef with hands-on research opportunities.,15,semester,16,16,3.0,None,19500,TRUE,22000,FALSE,TRUE,FALSE,https://fieldstudies.org/programs/australia-marine,Biology|Environmental Studies|Chemistry,coastal|research|field-work|stem-focused|adventure
Berlin Engineering Innovation,IES Abroad,Germany,Berlin,Europe,Study engineering and innovation in Germany's tech startup capital with industry partnerships.,16,semester,12,18,3.2,Basic German recommended,16500,TRUE,19000,TRUE,TRUE,FALSE,https://www.iesabroad.org/programs/berlin-engineering,Engineering|Computer Science|Mathematics|German,urban|modern|internships|stem-focused|research
Cape Town Social Justice,CIEE,South Africa,Cape Town,Africa,Engage with post-apartheid South Africa through service learning and social justice coursework.,15,semester,15,18,2.8,None (English-taught),13800,TRUE,16500,FALSE,FALSE,TRUE,https://www.ciee.org/programs/south-africa/cape-town,Sociology|Political Science|Public Health|History,urban|coastal|volunteer|community-engagement|english-taught
Singapore Business Hub,ISA,Singapore,Singapore,Asia,Experience Asia's financial center while studying international business and finance in English.,8,summer,6,9,3.0,None (English-taught),8900,FALSE,11500,TRUE,FALSE,TRUE,https://www.studiesabroad.com/programs/singapore/business,Business|Finance|Economics|Marketing,urban|modern|english-taught|internships|intensive
Madrid Language & Culture,API,Spain,Madrid,Europe,Intensive Spanish immersion with homestay families and cultural activities in Spain's vibrant capital.,14,semester,12,16,2.5,1 semester Spanish,13200,TRUE,15800,FALSE,FALSE,TRUE,https://www.apistudyabroad.com/programs/spain/madrid,Spanish|Literature|History|Art History,urban|homestay|language-intensive|cultural-immersion|large-program
Auckland Environmental Studies,CIEE,New Zealand,Auckland,Oceania,Study sustainability and Maori culture while exploring New Zealand's unique ecosystems.,16,semester,15,18,2.75,None (English-taught),17800,TRUE,21000,FALSE,TRUE,TRUE,https://www.ciee.org/programs/new-zealand/auckland,Environmental Studies|Anthropology|Biology|Sociology,coastal|sustainable|field-work|english-taught|adventure
Paris Fashion & Design,CEA Study Abroad,France,Paris,Europe,Study fashion merchandising and design in the world's fashion capital with industry internships.,15,semester,15,18,2.8,2 semesters French,18500,TRUE,22000,TRUE,FALSE,TRUE,https://www.ceastudyabroad.com/programs/paris-fashion,Marketing|French|Art History|Business,urban|arts-focused|internships|cultural-immersion|modern
Mumbai Film & Media,CIEE,India,Mumbai,Asia,Explore Bollywood and Indian media industries with hands-on film production experience.,6,summer,6,6,2.5,None (English-taught),5500,TRUE,7000,TRUE,FALSE,TRUE,https://www.ciee.org/programs/india/mumbai-film,Communications|Liberal Arts|Anthropology,urban|arts-focused|internships|english-taught|intensive
Lima Public Health,School for Field Studies,Peru,Lima,Americas,Address public health challenges in Peru through community-based research and Spanish immersion.,12,summer,9,12,2.8,Basic Spanish required,8200,TRUE,9800,FALSE,TRUE,FALSE,https://fieldstudies.org/programs/peru-health,Public Health|Spanish|Sociology|Biology,urban|volunteer|research|community-engagement|field-work
Copenhagen Sustainability,DIS,Denmark,Copenhagen,Europe,Study renewable energy and sustainable urban planning in one of the world's greenest cities.,16,semester,15,20,3.0,None (English-taught),19500,TRUE,23000,TRUE,FALSE,TRUE,https://www.dis.dk/programs/copenhagen-sustainability,Environmental Studies|Engineering|Political Science|Economics,urban|sustainable|english-taught|modern|research
Bangkok International Business,API,Thailand,Bangkok,Asia,Experience Southeast Asian business culture while studying at top Thai universities.,15,semester,12,15,2.75,None (English-taught),11200,TRUE,13500,TRUE,FALSE,TRUE,https://www.apistudyabroad.com/programs/thailand/bangkok,Business|Economics|International Relations|Marketing,urban|modern|internships|english-taught|cultural-immersion
Montreal French Immersion,ISA,Canada,Montreal,Americas,Perfect your French in North America's most European city with homestay and internship options.,8,summer,6,9,2.5,1 year French required,6800,TRUE,8500,TRUE,FALSE,FALSE,https://www.studiesabroad.com/programs/canada/montreal,French|Business|Liberal Arts|Communications,urban|language-intensive|homestay|internships|cultural-immersion
Rome Ancient Studies,IES Abroad,Italy,Rome,Europe,Study classics and archaeology with exclusive access to Roman ruins and Vatican collections.,14,semester,15,18,2.8,None,16200,TRUE,19500,FALSE,TRUE,TRUE,https://www.iesabroad.org/programs/rome-ancient,History|Art History|Philosophy|Italian,urban|historic|research|cultural-immersion|arts-focused
Hong Kong Finance,CIEE,China,Hong Kong,Asia,Study international finance in Asia's financial gateway with internship placements at major banks.,16,semester,12,18,3.2,None (English-taught),17500,TRUE,21000,TRUE,FALSE,FALSE,https://www.ciee.org/programs/hong-kong/finance,Finance|Business|Economics|Chinese,urban|modern|internships|english-taught|intensive
